HLA_Class,HLA_FourDigits
ClassII,DRB1_1433
ClassII,DRB1_1434
ClassII,DRB1_1435
ClassII,DRB1_1436
ClassII,DRB1_1437
ClassII,DRB1_1438
ClassII,DRB1_1439
ClassII,DRB1_1440
ClassII,DRB1_1441
ClassII,DRB1_1442
ClassII,DRB1_1443
ClassII,DRB1_1444
ClassII,DRB1_1445
ClassII,DRB1_1446
ClassII,DRB1_1447
ClassII,DRB1_1448
ClassII,DRB1_1449
ClassII,DRB1_1450
ClassII,DRB1_1451
ClassII,DRB1_1452
ClassII,DRB1_1453
ClassII,DRB1_1454
ClassII,DRB1_1455
ClassII,DRB1_1456
ClassII,DRB1_1457
ClassII,DRB1_1458
ClassII,DRB1_1459
ClassII,DRB1_1460
ClassII,DRB1_1461
ClassII,DRB1_1462
ClassII,DRB1_1463
ClassII,DRB1_1464
ClassII,DRB1_1465
ClassII,DRB1_1467
ClassII,DRB1_1468
ClassII,DRB1_1469
ClassII,DRB1_1470
ClassII,DRB1_1471
ClassII,DRB1_1472
ClassII,DRB1_1473
ClassII,DRB1_1474
ClassII,DRB1_1475
ClassII,DRB1_1476
ClassII,DRB1_1477
ClassII,DRB1_1478
ClassII,DRB1_1479
ClassII,DRB1_1480
ClassII,DRB1_1481
ClassII,DRB1_1482
ClassII,DRB1_1483
ClassII,DRB1_1484
ClassII,DRB1_1485
ClassII,DRB1_1486
ClassII,DRB1_1487
ClassII,DRB1_1488
ClassII,DRB1_1489
ClassII,DRB1_1490
ClassII,DRB1_1491
ClassII,DRB1_1493
ClassII,DRB1_1494
ClassII,DRB1_1495
ClassII,DRB1_1496
ClassII,DRB1_1497
ClassII,DRB1_1498
ClassII,DRB1_1499
ClassII,DRB1_1501
ClassII,DRB1_1502
ClassII,DRB1_1503
ClassII,DRB1_1504
ClassII,DRB1_1505
ClassII,DRB1_1506
ClassII,DRB1_1507
ClassII,DRB1_1508
ClassII,DRB1_1509
ClassII,DRB1_1510
ClassII,DRB1_1511
ClassII,DRB1_1512
ClassII,DRB1_1513
ClassII,DRB1_1514
ClassII,DRB1_1515
ClassII,DRB1_1516
ClassII,DRB1_1518
ClassII,DRB1_1519
ClassII,DRB1_1520
ClassII,DRB1_1521
ClassII,DRB1_1522
ClassII,DRB1_1523
ClassII,DRB1_1524
ClassII,DRB1_1525
ClassII,DRB1_1526
ClassII,DRB1_1527
ClassII,DRB1_1528
ClassII,DRB1_1529
ClassII,DRB1_1530
ClassII,DRB1_1531
ClassII,DRB1_1532
ClassII,DRB1_1533
ClassII,DRB1_1534
ClassII,DRB1_1535
ClassII,DRB1_1536
ClassII,DRB1_1537
ClassII,DRB1_1538
ClassII,DRB1_1539
ClassII,DRB1_1540
ClassII,DRB1_1541
ClassII,DRB1_1542
ClassII,DRB1_1543
ClassII,DRB1_1544
ClassII,DRB1_1545
ClassII,DRB1_1546
ClassII,DRB1_1547
ClassII,DRB1_1548
ClassII,DRB1_1549
ClassII,DRB1_1601
ClassII,DRB1_1602
ClassII,DRB1_1603
ClassII,DRB1_1604
ClassII,DRB1_1605
ClassII,DRB1_1607
ClassII,DRB1_1608
ClassII,DRB1_1609
ClassII,DRB1_1610
ClassII,DRB1_1611
ClassII,DRB1_1612
ClassII,DRB1_1614
ClassII,DRB1_1615
ClassII,DRB1_1616
ClassII,DRB3_0101
ClassII,DRB3_0104
ClassII,DRB3_0105
ClassII,DRB3_0108
ClassII,DRB3_0109
ClassII,DRB3_0111
ClassII,DRB3_0112
ClassII,DRB3_0113
ClassII,DRB3_0114
ClassII,DRB3_0201
ClassII,DRB3_0202
ClassII,DRB3_0204
ClassII,DRB3_0205
ClassII,DRB3_0209
ClassII,DRB3_0210
ClassII,DRB3_0211
ClassII,DRB3_0212
ClassII,DRB3_0213
ClassII,DRB3_0214
ClassII,DRB3_0215
ClassII,DRB3_0216
ClassII,DRB3_0217
ClassII,DRB3_0218
ClassII,DRB3_0219
ClassII,DRB3_0220
ClassII,DRB3_0221
ClassII,DRB3_0222
ClassII,DRB3_0223
ClassII,DRB3_0224
ClassII,DRB3_0225
ClassII,DRB3_0301
ClassII,DRB3_0303
ClassII,DRB4_0101
ClassII,DRB4_0103
ClassII,DRB4_0104
ClassII,DRB4_0106
ClassII,DRB4_0107
ClassII,DRB4_0108
ClassII,DRB5_0101
ClassII,DRB5_0102
ClassII,DRB5_0103
ClassII,DRB5_0104
ClassII,DRB5_0105
ClassII,DRB5_0106
ClassII,DRB5_0111
